2,1,55230401,52
3,2,55230401,79
4,3,55230401,76
5,4,55230401,57
6,5,55230401,63
7,6,55230401,56
8,7,55230401,72
9,8,55230401,56
10,9,55230401,99
11,10,55230401,57
12,11,55230401,86
13,1,55230402,58
14,2,55230402,63
15,3,55230402,84
16,4,55230402,72
17,5,55230402,71
18,6,55230402,70
19,7,55230402,94
20,8,55230402,87
21,9,55230402,59
22,10,55230402,66
23,11,55230402,91
24,1,55230403,79
25,2,55230403,83
26,3,55230403,65
27,4,55230403,52
28,5,55230403,61
29,6,55230403,85
30,7,55230403,71
31,8,55230403,65
32,9,55230403,82
33,10,55230403,57
34,11,55230403,71
35,1,55230404,93
36,2,55230404,99
37,3,55230404,96
38,4,55230404,80
39,5,55230404,98
40,6,55230404,53
41,7,55230404,86
42,8,55230404,70
43,9,55230404,55
44,10,55230404,100
45,11,55230404,90
46,1,55230405,82
47,2,55230405,84
48,3,55230405,61
49,4,55230405,58
50,5,55230405,57
51,6,55230405,59
52,7,55230405,92
53,8,55230405,57
54,9,55230405,62
55,10,55230405,78
56,11,55230405,71
57,1,55230406,75
58,2,55230406,85
59,3,55230406,79
60,4,55230406,62
61,5,55230406,80
62,6,55230406,51
63,7,55230406,69
64,8,55230406,56
65,9,55230406,63
66,10,55230406,50
67,11,55230406,53
68,1,55230407,87
69,2,55230407,71
70,3,55230407,74
71,4,55230407,69
72,5,55230407,91
73,6,55230407,73
74,7,55230407,58
75,8,55230407,75
76,9,55230407,59
77,10,55230407,57
78,11,55230407,69
79,1,55230408,90
80,2,55230408,96
81,3,55230408,85
82,4,55230408,98
83,5,55230408,73
84,6,55230408,81
85,7,55230408,92
86,8,55230408,88
87,9,55230408,63
88,10,55230408,52
89,11,55230408,54
90,1,55230409,56
91,2,55230409,66
92,3,55230409,86
93,4,55230409,58
94,5,55230409,97
95,6,55230409,71
96,7,55230409,91
97,8,55230409,64
98,9,55230409,99
99,10,55230409,69
100,11,55230409,58
101,1,55230410,56
102,2,55230410,100
103,3,55230410,80
104,4,55230410,84
105,5,55230410,57
106,6,55230410,73
107,7,55230410,92
108,8,55230410,61
109,9,55230410,81
110,10,55230410,61
111,11,55230410,81
112,1,55230411,63
113,2,55230411,56
114,3,55230411,60
115,4,55230411,89
116,5,55230411,81
117,6,55230411,87
118,7,55230411,65
